ID_KPI,KPI,Gebied,Date,Value
1,TEVREDENHEID,Purmerend,Jan/09,8.2
1,TEVREDENHEID,Purmerend,Feb/09,9.2
1,TEVREDENHEID,Purmerend,Mar/09,9.3
1,TEVREDENHEID,Purmerend,Apr/09,9.2
1,TEVREDENHEID,Purmerend,May/09,8.6
1,TEVREDENHEID,Purmerend,Jun/09,8.4
1,TEVREDENHEID,Purmerend,Jul/09,7.8
1,TEVREDENHEID,Purmerend,Aug/09,9.1
1,TEVREDENHEID,Purmerend,Sep/09,9.2
1,TEVREDENHEID,Purmerend,Oct/09,8.9
1,TEVREDENHEID,Purmerend,Nov/09,8.6
1,TEVREDENHEID,Purmerend,Dec/09,9.3
1,TEVREDENHEID,Purmerend,Jan/10,7.8
1,TEVREDENHEID,Purmerend,Feb/10,8.7
1,TEVREDENHEID,Purmerend,Mar/10,5.5
1,TEVREDENHEID,Purmerend,Apr/10,6.8
1,TEVREDENHEID,Purmerend,May/10,6.2
1,TEVREDENHEID,Purmerend,Jun/10,3.7
1,TEVREDENHEID,Purmerend,Jul/10,2.6
1,TEVREDENHEID,Purmerend,Aug/10,2.3
1,TEVREDENHEID,Purmerend,Sep/10,5.9
1,TEVREDENHEID,Purmerend,Oct/10,7.1
1,TEVREDENHEID,Purmerend,Nov/10,7.5
1,TEVREDENHEID,Purmerend,Dec/10,9.1
1,TEVREDENHEID,Purmerend,Jan/11,5.5
1,TEVREDENHEID,Purmerend,Feb/11,7.4
1,TEVREDENHEID,Purmerend,Mar/11,7.8
1,TEVREDENHEID,Purmerend,Apr/11,7.3
1,TEVREDENHEID,Purmerend,May/11,7.2
1,TEVREDENHEID,Purmerend,Jun/11,7.4
1,TEVREDENHEID,Purmerend,Jul/11,7.6
1,TEVREDENHEID,Purmerend,Aug/11,6.4
1,TEVREDENHEID,Purmerend,Sep/11,7.7
1,TEVREDENHEID,Purmerend,Oct/11,7.8
1,TEVREDENHEID,Purmerend,Nov/11,7.6
1,TEVREDENHEID,Purmerend,Dec/11,6.3
1,TEVREDENHEID,Purmerend,Jan/12,6.4
1,TEVREDENHEID,Purmerend,Feb/12,7.8
1,TEVREDENHEID,Purmerend,Mar/12,8.0
1,TEVREDENHEID,Purmerend,Apr/12,8.0
1,TEVREDENHEID,Purmerend,May/12,6.0
1,TEVREDENHEID,Purmerend,Jun/12,6.9
1,TEVREDENHEID,Purmerend,Jul/12,4.0
1,TEVREDENHEID,Purmerend,Aug/12,5.8
1,TEVREDENHEID,Purmerend,Sep/12,7.8
1,TEVREDENHEID,Purmerend,Oct/12,6.7
1,TEVREDENHEID,Purmerend,Nov/12,9.0
1,TEVREDENHEID,Purmerend,Dec/12,7.4
1,TEVREDENHEID,Purmerend,Jan/13,7.2
1,TEVREDENHEID,Purmerend,Feb/13,8.7
1,TEVREDENHEID,Purmerend,Mar/13,8.9
1,TEVREDENHEID,Purmerend,Apr/13,7.9
1,TEVREDENHEID,Purmerend,May/13,6.6
1,TEVREDENHEID,Purmerend,Jun/13,8.2
1,TEVREDENHEID,Purmerend,Jul/13,7.3
1,TEVREDENHEID,Purmerend,Aug/13,7.8
1,TEVREDENHEID,Purmerend,Sep/13,7.9
1,TEVREDENHEID,Purmerend,Oct/13,6.3
1,TEVREDENHEID,Purmerend,Nov/13,6.7
1,TEVREDENHEID,Purmerend,Dec/13,8.1
1,TEVREDENHEID,Purmerend,Jan/14,6.7
1,TEVREDENHEID,Purmerend,Feb/14,7.5
1,TEVREDENHEID,Purmerend,Mar/14,8.3
1,TEVREDENHEID,Purmerend,Apr/14,7.8
1,TEVREDENHEID,Purmerend,May/14,9.0
1,TEVREDENHEID,Purmerend,Jun/14,7.4
1,TEVREDENHEID,Purmerend,Jul/14,7.2
1,TEVREDENHEID,Purmerend,Aug/14,8.7
1,TEVREDENHEID,Purmerend,Sep/14,8.9
1,TEVREDENHEID,Purmerend,Oct/14,7.9
1,TEVREDENHEID,Purmerend,Nov/14,6.6
1,TEVREDENHEID,Purmerend,Dec/14,8.2
1,TEVREDENHEID,Centrum,Jan/09,7.9
1,TEVREDENHEID,Centrum,Feb/09,10
1,TEVREDENHEID,Centrum,Mar/09,9.4
1,TEVREDENHEID,Centrum,Apr/09,9.3
1,TEVREDENHEID,Centrum,May/09,8.8
1,TEVREDENHEID,Centrum,Jun/09,8.3
1,TEVREDENHEID,Centrum,Jul/09,8.6
1,TEVREDENHEID,Centrum,Aug/09,9.3
1,TEVREDENHEID,Centrum,Sep/09,9.3
1,TEVREDENHEID,Centrum,Oct/09,9.6
1,TEVREDENHEID,Centrum,Nov/09,9.8
1,TEVREDENHEID,Centrum,Dec/09,9.8
1,TEVREDENHEID,Centrum,Jan/10,9.5
1,TEVREDENHEID,Centrum,Feb/10,9.8
1,TEVREDENHEID,Centrum,Mar/10,6.6
1,TEVREDENHEID,Centrum,Apr/10,6.5
1,TEVREDENHEID,Centrum,May/10,6.0
1,TEVREDENHEID,Centrum,Jun/10,3.8
1,TEVREDENHEID,Centrum,Jul/10,4.9
1,TEVREDENHEID,Centrum,Aug/10,1.9
1,TEVREDENHEID,Centrum,Sep/10,6.7
1,TEVREDENHEID,Centrum,Oct/10,6.2
1,TEVREDENHEID,Centrum,Nov/10,8.5
1,TEVREDENHEID,Centrum,Dec/10,9.5
1,TEVREDENHEID,Centrum,Jan/11,5.9
1,TEVREDENHEID,Centrum,Feb/11,4.3
1,TEVREDENHEID,Centrum,Mar/11,8.9
1,TEVREDENHEID,Centrum,Apr/11,6.4
1,TEVREDENHEID,Centrum,May/11,8.2
1,TEVREDENHEID,Centrum,Jun/11,8.3
1,TEVREDENHEID,Centrum,Jul/11,7.5
1,TEVREDENHEID,Centrum,Aug/11,5.8
1,TEVREDENHEID,Centrum,Sep/11,7.1
1,TEVREDENHEID,Centrum,Oct/11,7.7
1,TEVREDENHEID,Centrum,Nov/11,8.4
1,TEVREDENHEID,Centrum,Dec/11,6.7
1,TEVREDENHEID,Centrum,Jan/12,6.5
1,TEVREDENHEID,Centrum,Feb/12,8.1
1,TEVREDENHEID,Centrum,Mar/12,7.8
1,TEVREDENHEID,Centrum,Apr/12,7.2
1,TEVREDENHEID,Centrum,May/12,7.5
1,TEVREDENHEID,Centrum,Jun/12,8.8
1,TEVREDENHEID,Centrum,Jul/12,4.4
1,TEVREDENHEID,Centrum,Aug/12,5.5
1,TEVREDENHEID,Centrum,Sep/12,6.4
1,TEVREDENHEID,Centrum,Oct/12,5.9
1,TEVREDENHEID,Centrum,Nov/12,9.5
1,TEVREDENHEID,Centrum,Dec/12,7.5
1,TEVREDENHEID,Centrum,Jan/13,7.5
1,TEVREDENHEID,Centrum,Feb/13,9.1
1,TEVREDENHEID,Centrum,Mar/13,8.6
1,TEVREDENHEID,Centrum,Apr/13,8.2
1,TEVREDENHEID,Centrum,May/13,8.2
1,TEVREDENHEID,Centrum,Jun/13,8.9
1,TEVREDENHEID,Centrum,Jul/13,7.5
1,TEVREDENHEID,Centrum,Aug/13,8.4
1,TEVREDENHEID,Centrum,Sep/13,8.8
1,TEVREDENHEID,Centrum,Oct/13,8.1
1,TEVREDENHEID,Centrum,Nov/13,7.2
1,TEVREDENHEID,Centrum,Dec/13,8.3
1,TEVREDENHEID,Centrum,Jan/14,7.9
1,TEVREDENHEID,Centrum,Feb/14,8.2
1,TEVREDENHEID,Centrum,Mar/14,8.8
1,TEVREDENHEID,Centrum,Apr/14,8.6
1,TEVREDENHEID,Centrum,May/14,8.2
1,TEVREDENHEID,Centrum,Jun/14,8.2
1,TEVREDENHEID,Centrum,Jul/14,8.9
1,TEVREDENHEID,Centrum,Aug/14,7.5
1,TEVREDENHEID,Centrum,Sep/14,8.4
1,TEVREDENHEID,Centrum,Oct/14,8.8
1,TEVREDENHEID,Centrum,Nov/14,8.1
1,TEVREDENHEID,Centrum,Dec/14,7.2
1,TEVREDENHEID,Gors,Jan/09,7.5
1,TEVREDENHEID,Gors,Feb/09,7.8
1,TEVREDENHEID,Gors,Mar/09,9.2
1,TEVREDENHEID,Gors,Apr/09,8.7
1,TEVREDENHEID,Gors,May/09,7.8
1,TEVREDENHEID,Gors,Jun/09,6.5
1,TEVREDENHEID,Gors,Jul/09,4.7
1,TEVREDENHEID,Gors,Aug/09,6.9
1,TEVREDENHEID,Gors,Sep/09,7.5
1,TEVREDENHEID,Gors,Oct/09,8.3
1,TEVREDENHEID,Gors,Nov/09,5.7
1,TEVREDENHEID,Gors,Dec/09,7.8
1,TEVREDENHEID,Gors,Jan/10,6.2
